,Unnamed: 0,date2,hour,Daily Weight count,blob_sent_hourly mean,vader_sent_hourly mean,day n hour,tweet dir,vsent dir,bsent dir,bsent movement,tweet movement,vsent movement,vesent movement,Close,5hr MA,price dir,movement,date2,month,hour
0,0,2019-01-01,0,735,0.09073231266,0.1471421761,2019-01-01-0.0,0,0,0,0,0,1,0,3700.31,3686.672,0,0,2019-01-01,1,12
1,1,2019-01-01,1,603,0.05640662274,0.1589789808,2019-01-01-1.0,-132,0.01183680475,-0.03432568993,0,0,1,0,3689.69,3690.21,3.538,1,2019-01-01,1,1
2,2,2019-01-01,2,629,0.09991966455,0.1515505121,2019-01-01-2.0,26,-0.007428468707,0.04351304181,0,1,1,0,3690,3693.866,3.656,1,2019-01-01,1,2
3,3,2019-01-01,3,546,0.08782750394,0.1832259313,2019-01-01-3.0,-83,0.0316754192,-0.01209216061,0,0,1,0,3693.13,3695.206,1.34,1,2019-01-01,1,3
4,4,2019-01-01,4,519,0.1121789847,0.2028966789,2019-01-01-4.0,-27,0.01967074762,0.02435148072,0,0,1,0,3692.71,3693.168,-2.038,0,2019-01-01,1,4
5,5,2019-01-01,5,530,0.07696816189,0.1331980248,2019-01-01-5.0,11,-0.06969865411,-0.03521082276,0,1,1,0,3699.94,3693.094,-0.074,0,2019-01-01,1,5
6,6,2019-01-01,6,551,0.05957694749,0.113903846,2019-01-01-6.0,21,-0.01929417888,-0.01739121441,0,1,1,0,3703.56,3695.868,2.774,1,2019-01-01,1,6
7,7,2019-01-01,7,487,0.09811887407,0.1221579698,2019-01-01-7.0,-64,0.008254123846,0.03854192659,0,0,1,0,3713.83,3700.634,4.766,1,2019-01-01,1,7
8,8,2019-01-01,8,718,0.05350758718,0.1137494596,2019-01-01-8.0,231,-0.008408510178,-0.04461128689,0,1,1,0,3716.7,3705.348,4.714,1,2019-01-01,1,8
9,9,2019-01-01,9,638,0.08424327793,0.1690373813,2019-01-01-9.0,-80,0.05528792163,0.03073569075,0,0,1,0,3699.95,3706.796,1.448,1,2019-01-01,1,9
10,10,2019-01-01,10,808,0.09128617893,0.1996290275,2019-01-01-10.0,170,0.0305916462,0.007042901007,0,1,1,0,3713.07,3709.422,2.626,1,2019-01-01,1,10
11,11,2019-01-01,11,586,0.07413643439,0.1179569871,2019-01-01-11.0,-222,-0.08167204035,-0.01714974455,0,0,1,0,3707.54,3710.218,0.796,1,2019-01-01,1,11
12,12,2019-01-01,12,575,0.0911194982,0.1329884659,2019-01-01-12.0,-11,0.01503147874,0.01698306382,0,0,1,0,3717,3710.852,0.634,1,2019-01-01,1,12
13,13,2019-01-01,13,688,0.06937807296,0.1243505271,2019-01-01-13.0,113,-0.008637938731,-0.02174142525,0,1,1,0,3715.93,3710.698,-0.154,0,2019-01-01,1,1
14,14,2019-01-01,14,762,0.08958939615,0.1064071174,2019-01-01-14.0,74,-0.01794340975,0.02021132319,0,1,1,0,3698.53,3710.414,-0.284,0,2019-01-01,1,2
15,15,2019-01-01,15,687,0.1026647726,0.1257404856,2019-01-01-15.0,-75,0.01933336824,0.01307537642,0,0,1,0,3682.61,3704.322,-6.092,0,2019-01-01,1,3
16,16,2019-01-01,16,624,0.1052288554,0.216170071,2019-01-01-16.0,-63,0.09042958544,0.002564082802,0,0,1,0,3693.54,3701.522,-2.8,0,2019-01-01,1,4
17,17,2019-01-01,17,860,0.1117685235,0.1530762598,2019-01-01-17.0,236,-0.06309381125,0.006539668157,0,1,1,0,3686.32,3695.386,-6.136,0,2019-01-01,1,5
18,18,2019-01-01,18,887,0.08070502222,0.1393137333,2019-01-01-18.0,27,-0.01376252647,-0.03106350131,0,1,1,0,3659.41,3684.082,-11.304,0,2019-01-01,1,6
19,19,2019-01-01,19,781,0.07964163082,0.07795576701,2019-01-01-19.0,-106,-0.06135796633,-0.001063391394,0,0,1,0,3696.73,3683.722,-0.36,0,2019-01-01,1,7
20,20,2019-01-01,20,812,0.1258524626,0.2172789301,2019-01-01-20.0,31,0.1393231631,0.04621083175,0,1,1,0,3719,3691,7.278,1,2019-01-01,1,8
21,21,2019-01-01,21,710,0.0831098444,0.1807635123,2019-01-01-21.0,-102,-0.03651541786,-0.04274261817,0,0,1,0,3708.21,3693.934,2.934,1,2019-01-01,1,9
